,state,account_length,international_plan,voice_mail_plan,total_day_calls,total_day_charge,total_eve_calls,total_eve_charge,total_night_calls,total_night_charge,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
821,OR,161,no,no,70,17.92,122,18.26,126,10.06,5,2.11,0,no
822,TX,50,no,no,94,32.11,104,17.33,124,6.83,8,3.13,3,no
823,MO,103,no,yes,85,19.01,102,20.37,81,12.07,4,1.86,1,no
824,ND,84,no,yes,106,27.05,101,12.73,108,9.6,18,3.51,1,no
825,MN,92,no,no,105,36.11,118,19.09,105,9.96,4,2.43,1,no
826,NV,77,no,no,112,24.19,111,26.04,82,8.84,1,2.67,1,no
827,NY,64,yes,no,55,58.96,79,21.21,102,12.39,9,3.59,1,yes
828,FL,159,no,yes,102,19.36,146,12.35,137,8.78,9,3.19,1,no
829,KS,110,yes,yes,103,45.54,74,22.38,106,8.01,2,2.24,1,yes
830,NV,178,no,no,150,46.82,62,15.94,126,6.62,3,3.67,1,no
831,MI,50,no,yes,97,32.74,101,11.49,101,9.73,2,2.13,2,no
832,MI,45,no,yes,104,15.59,119,12.8,103,2.85,5,2.08,1,no
833,TN,70,no,no,99,21.47,106,12.04,96,11.52,2,2.59,0,no
834,NV,94,no,no,108,32.4,95,12.95,97,6.51,5,2.03,1,no
835,IL,179,no,no,101,19.74,99,17.15,103,8.19,5,3.13,0,no
836,MS,116,no,no,91,36.94,95,18.37,76,6.66,3,3.05,2,no
837,ND,59,no,no,80,30.5,99,19.76,105,7.91,3,3.97,0,no
838,NC,165,no,no,109,35.31,94,14.01,91,2.45,3,2.13,0,no
839,TN,140,no,no,84,21.3,121,14.25,94,11.73,4,2.27,1,no
840,VT,93,no,yes,91,23.48,72,14.22,115,10.75,3,1.84,2,no
841,OK,52,no,yes,88,28.78,97,19.2,86,7.74,3,2.21,0,no
842,DE,64,no,yes,101,34.22,89,12.22,127,6.76,3,3.32,1,no
843,OR,48,no,no,92,32.37,85,26.99,113,6.0,4,2.24,2,no
844,NY,181,no,no,91,24.36,58,16.62,95,10.05,7,1.62,1,no
845,MO,168,no,yes,57,16.56,98,17.31,124,7.83,2,3.08,2,no
846,FL,155,no,no,111,30.84,92,14.25,122,7.58,3,3.05,3,no
847,ND,105,no,no,83,41.89,101,21.78,151,7.61,4,1.03,0,no
848,ND,182,no,no,111,17.83,120,16.87,91,11.62,5,2.16,2,no
849,NY,104,no,no,93,26.55,54,16.41,94,10.02,5,3.54,1,no
850,OH,102,no,no,125,19.52,126,6.96,101,13.69,4,3.24,0,no
851,AL,122,no,no,96,39.53,120,17.47,91,9.62,2,3.21,0,no
852,SC,41,no,no,117,24.41,108,12.95,110,8.75,3,2.32,1,no
853,GA,132,no,no,132,30.04,80,20.75,120,7.93,4,2.46,2,no
854,WY,76,no,no,148,44.78,69,19.58,101,7.68,5,3.08,1,yes
855,WV,13,no,no,74,24.89,92,12.62,96,9.75,3,3.05,1,no
856,HI,115,no,yes,72,24.65,157,16.53,138,10.9,3,3.83,2,no
857,WV,67,no,no,91,28.53,69,14.25,71,4.96,12,2.27,1,no
858,AR,100,no,no,87,24.23,88,16.63,117,5.49,8,2.11,2,no
859,AK,146,yes,no,65,22.61,93,22.34,128,9.64,3,3.02,1,no
860,DC,148,no,yes,129,42.99,88,24.17,99,11.83,1,3.32,1,no
861,AL,67,no,yes,94,16.15,73,24.75,114,7.18,2,2.7,2,no
862,UT,161,yes,no,106,33.01,105,21.2,129,11.47,1,3.48,1,yes
863,KS,70,no,no,114,37.88,113,18.35,122,10.06,0,0.0,1,no
864,VA,99,no,yes,125,36.72,104,19.75,100,9.7,4,2.51,2,yes
865,UT,87,no,no,108,24.87,102,14.6,66,7.54,9,1.43,1,no
866,DE,131,no,no,80,16.05,101,18.28,108,8.09,9,3.54,2,no
867,VT,119,no,no,74,32.37,113,18.33,111,7.25,1,2.7,2,no
868,MO,119,no,yes,77,24.24,126,17.7,102,7.69,2,3.24,3,no
869,RI,87,yes,no,80,22.81,71,14.03,102,7.79,5,2.89,0,no
870,CA,112,no,no,92,19.02,143,9.69,79,6.61,3,3.81,5,yes
871,RI,75,no,no,89,20.88,104,17.96,91,11.76,2,2.89,2,no
872,CT,150,no,no,77,32.18,105,18.78,117,10.74,5,2.48,4,no
873,IN,161,no,yes,112,40.87,102,17.15,112,9.27,6,4.35,0,no
874,FL,91,yes,yes,112,15.9,128,15.59,133,10.83,3,2.67,0,no
875,KS,124,no,no,104,26.96,77,17.95,104,8.07,8,2.75,3,no
876,NY,94,yes,no,109,41.34,88,12.5,99,4.27,4,1.94,4,no
877,TX,217,no,no,115,29.99,128,13.5,107,13.8,3,2.51,4,no
878,RI,158,no,no,129,37.55,108,20.59,75,10.5,5,1.73,0,no
879,NV,102,no,no,87,24.55,128,22.65,59,9.79,7,1.92,0,no
880,UT,85,no,no,107,36.09,103,19.41,116,7.35,3,2.08,0,no
881,OK,79,no,no,72,24.99,102,14.08,107,10.94,9,2.27,1,no
882,MN,139,no,yes,112,16.35,70,15.21,84,8.19,10,3.48,2,no
883,NC,103,no,no,118,44.78,69,15.22,112,9.66,2,2.78,0,no
884,NH,78,no,no,116,27.59,86,16.35,100,10.83,3,2.73,2,no
885,AK,50,no,no,107,31.21,118,4.98,99,9.12,3,2.35,1,no
886,KS,67,no,no,101,34.24,122,8.3,119,9.11,3,1.89,0,no
887,WV,86,no,yes,158,20.91,119,11.38,103,6.22,4,3.59,1,no
888,NM,174,no,no,72,40.66,124,16.02,116,4.75,3,2.38,1,no
889,OH,124,no,no,97,32.81,99,7.63,104,7.78,3,4.13,1,no
890,RI,190,no,yes,71,19.84,88,12.4,103,7.88,3,2.67,1,no
891,HI,101,no,no,127,15.95,104,12.75,116,10.85,2,2.89,1,no
892,NY,68,no,yes,82,40.72,105,17.32,70,7.55,6,2.67,0,no
893,KS,117,no,yes,140,36.72,69,19.05,112,12.06,4,3.19,0,no
894,LA,118,no,no,97,31.86,89,15.11,97,10.5,6,3.29,1,no
895,NV,22,no,no,108,27.27,88,18.54,115,8.68,4,3.38,1,no
896,PA,134,no,no,122,34.9,155,20.44,107,8.06,9,1.35,1,no
897,MO,164,no,yes,88,37.25,99,12.88,60,2.25,6,3.86,1,no
898,ME,177,no,no,106,39.58,97,14.89,77,9.55,7,3.38,2,no
899,NH,110,no,no,81,27.54,89,21.04,99,7.0,8,2.4,0,no
900,WY,53,no,yes,119,4.4,96,17.55,64,10.26,7,1.76,1,no
901,ME,80,no,no,113,54.79,95,18.87,123,7.33,8,1.81,0,yes
902,MN,158,no,no,112,35.68,82,18.81,93,9.45,3,2.21,1,no
903,OH,114,no,no,88,32.56,78,14.89,118,9.91,0,0.0,0,no
904,NC,64,no,yes,150,49.49,123,19.27,67,9.86,2,2.03,1,no
905,SD,88,no,no,115,36.65,85,18.38,65,7.71,1,3.19,3,no
906,UT,82,yes,no,101,35.5,87,18.16,86,7.88,6,3.35,3,no
907,KY,111,no,no,97,43.5,129,17.35,84,7.71,5,3.32,3,no
908,MT,60,no,no,97,42.96,121,18.79,100,4.95,4,3.35,2,no
909,NJ,113,no,no,72,22.46,107,21.04,123,11.08,6,1.86,3,no
910,FL,109,no,no,115,36.89,142,17.6,106,12.06,4,2.21,1,no
911,IN,105,no,yes,79,17.32,97,18.96,77,10.87,2,3.48,0,no
912,DE,85,no,no,100,35.96,88,15.69,131,7.39,4,3.59,2,no
913,ME,59,no,no,95,28.27,87,20.34,108,5.54,3,2.7,2,no
914,SD,148,no,no,87,31.48,96,14.48,104,7.43,13,2.57,1,no
915,AK,115,no,no,105,41.68,109,13.52,74,10.35,8,1.94,0,no
916,ID,106,no,no,120,46.65,82,16.88,62,7.24,3,1.62,1,no
917,RI,93,no,no,78,16.73,129,21.22,114,11.17,4,3.83,1,no
918,KY,57,no,yes,121,47.58,109,18.96,94,11.33,2,3.51,1,no
919,ND,98,no,no,127,31.82,88,16.63,129,8.18,4,1.38,1,no
920,HI,157,no,no,95,46.95,119,14.09,79,6.82,4,0.59,3,no
921,WI,116,no,yes,104,34.07,89,23.19,100,9.65,4,2.24,1,no
922,WV,30,no,no,96,27.59,122,20.74,89,8.1,4,2.46,2,no
923,NJ,111,no,no,128,30.07,56,8.74,84,9.62,2,2.84,4,yes
924,KS,52,no,no,78,28.14,89,17.47,124,9.61,6,3.29,0,no
925,AL,72,no,no,93,37.03,113,16.12,91,8.22,5,2.81,4,no
926,NJ,135,no,yes,100,34.24,117,20.95,131,6.97,4,3.48,2,yes
927,NC,86,no,no,115,32.39,130,15.27,89,11.63,5,2.73,3,no
928,DE,98,no,yes,97,30.58,89,16.08,76,7.39,7,3.46,3,no
929,WY,151,no,no,104,40.1,91,6.85,116,9.58,2,1.57,3,no
930,ID,118,no,no,112,23.87,60,15.9,155,9.36,1,2.13,0,no
931,NY,117,no,no,115,24.58,66,22.0,113,11.39,9,2.0,2,no
932,MO,55,no,no,100,32.13,99,10.07,87,11.16,6,4.62,0,no
933,ID,82,no,no,93,17.17,104,13.23,93,13.7,2,3.59,0,no
934,IA,152,no,no,98,35.07,82,24.89,121,1.97,4,2.86,1,no
935,TN,108,no,yes,85,28.07,93,22.7,114,11.28,4,2.94,1,no
936,OH,98,no,no,129,28.05,113,17.22,94,7.75,7,3.38,1,yes
937,IL,130,no,no,95,26.5,97,21.77,103,11.83,3,3.16,3,no
938,FL,136,yes,no,122,33.86,114,18.25,105,6.79,7,3.19,1,no
939,MA,47,no,no,116,26.4,85,16.0,73,11.12,4,3.32,3,no
940,OK,189,no,no,106,35.41,123,20.12,120,8.06,5,3.05,3,no
941,KY,107,no,no,79,26.71,124,13.82,138,6.75,6,3.27,1,no
942,MI,91,no,no,165,26.25,121,14.31,81,10.8,4,3.16,5,yes
943,NE,159,no,no,105,32.15,147,20.92,106,10.89,5,2.81,1,yes
944,VA,11,no,yes,98,22.36,111,19.57,87,12.77,3,2.7,2,no
945,NY,167,no,no,85,28.29,135,20.67,95,10.31,5,2.67,1,no
946,VT,99,no,yes,103,14.91,86,18.96,112,8.2,4,1.97,2,no
947,KS,159,no,yes,78,31.3,71,16.53,101,10.15,3,4.56,0,no
948,AL,71,no,no,103,17.56,79,11.77,98,7.42,2,2.43,2,no
949,PA,122,no,no,62,5.97,89,15.37,58,11.32,2,3.43,1,no
950,WV,83,no,yes,109,13.35,101,17.89,102,8.09,4,3.19,1,no
951,NV,64,no,no,73,25.18,101,14.02,125,9.72,2,3.32,5,yes
952,ID,144,no,yes,87,42.77,118,16.8,97,9.41,3,3.29,2,no
953,WY,106,yes,yes,111,45.95,90,18.29,133,11.43,7,3.89,1,yes
954,TX,19,no,yes,97,26.62,97,19.06,135,11.74,1,3.05,1,no
955,MA,46,no,no,81,23.7,113,19.01,77,7.79,6,3.67,1,no
956,IL,127,no,no,108,37.43,124,16.01,113,7.77,3,3.16,2,no
957,LA,9,no,yes,108,36.4,115,14.38,117,8.54,3,2.73,1,no
958,CO,157,no,no,74,33.32,96,18.14,81,8.86,6,2.13,1,no
959,MI,105,no,yes,113,30.5,100,23.41,105,11.07,5,2.7,0,no
960,NH,155,no,no,30,36.84,125,12.27,106,6.09,1,2.92,2,no
961,WA,161,no,no,117,25.77,87,18.65,68,10.11,5,1.08,1,no
962,MN,95,no,yes,123,44.57,82,14.04,57,8.74,5,2.86,0,no
963,NY,122,no,no,110,29.51,84,7.79,103,9.53,7,2.62,3,no
964,HI,119,no,yes,94,36.92,52,11.79,85,6.27,4,3.05,0,no
965,CT,99,no,no,105,16.22,101,17.61,117,6.12,5,1.51,1,no
966,CO,76,no,yes,110,36.48,87,17.44,140,6.06,2,2.19,1,no
967,KS,167,no,no,120,22.37,96,17.96,97,7.57,4,3.0,4,yes
968,NJ,129,no,no,117,28.63,129,18.45,100,3.67,7,3.19,1,no
969,FL,116,no,no,123,24.89,113,15.01,102,9.57,5,2.11,1,no
970,CA,60,yes,no,110,31.11,93,17.57,119,9.17,6,3.0,1,no
971,KS,128,no,no,122,17.56,123,20.9,95,7.25,7,1.73,0,no
972,TX,47,no,yes,70,19.07,106,13.16,105,7.5,2,2.86,0,no
973,MN,40,yes,no,55,29.02,108,15.22,89,12.69,9,2.21,3,no
974,AK,173,no,no,78,29.33,91,12.12,63,4.59,2,2.94,0,no
975,MS,66,no,yes,117,31.93,90,11.03,113,5.95,3,3.24,2,no
976,VT,50,yes,yes,94,52.21,78,24.6,109,7.87,3,2.16,0,no
977,KS,130,no,no,95,26.18,106,17.5,75,10.52,1,3.48,1,no
978,DE,89,yes,no,108,21.35,90,18.11,108,8.18,5,1.46,1,no
979,IN,108,no,no,104,33.88,92,19.06,57,6.3,2,4.1,0,no
980,TX,32,no,no,88,26.84,132,15.37,102,5.96,3,3.46,1,no
981,MA,166,no,no,81,34.58,110,14.25,124,5.94,5,2.48,2,no
982,CA,72,no,yes,98,15.78,115,23.05,83,7.52,7,1.57,1,no
983,IA,134,no,yes,78,36.86,111,8.69,83,7.83,2,2.32,0,no
984,NH,13,no,no,89,32.84,90,16.52,104,8.39,2,2.62,4,no
985,GA,90,no,no,108,19.24,63,16.09,124,12.23,4,3.81,3,no
986,WI,111,no,yes,54,28.25,109,20.3,92,4.9,2,3.02,3,no
987,SC,72,no,no,92,35.33,110,16.63,124,8.32,4,3.54,0,no
988,MI,67,no,yes,89,41.72,102,12.6,136,12.33,6,2.03,1,no
989,MD,172,no,no,108,48.81,125,15.16,98,6.89,2,3.89,3,yes
990,IN,154,no,yes,82,32.69,134,14.05,74,9.23,1,2.43,2,no
991,ME,69,no,no,122,33.01,81,20.58,80,9.71,3,2.62,2,no
992,DC,123,no,no,92,35.87,102,18.45,104,9.67,7,2.65,3,no
993,TN,130,no,yes,92,24.12,102,19.46,101,8.78,5,2.35,0,no
994,FL,142,no,yes,94,37.49,126,20.36,109,11.44,9,1.59,2,no
995,WA,29,no,no,122,26.76,75,12.33,92,12.68,2,2.51,1,no
996,HI,87,no,yes,106,24.4,147,19.0,69,7.89,5,3.02,0,no
997,NE,149,no,no,56,26.52,116,4.76,104,7.35,8,2.4,0,no
998,TN,146,yes,no,63,27.22,112,17.71,98,7.99,3,2.48,2,no
999,MD,88,yes,no,98,39.97,79,21.4,76,12.87,2,1.94,4,yes
1000,NM,119,yes,yes,95,27.2,110,17.81,107,3.7,5,2.35,5,yes
1001,OR,135,no,no,97,33.12,118,20.0,126,7.85,3,2.97,1,no
1002,IN,100,no,no,117,42.13,95,11.05,125,6.04,2,1.86,1,no
1003,MO,98,no,no,80,37.6,104,18.16,89,13.13,3,3.21,4,no
1004,DC,180,no,yes,78,39.41,79,19.8,121,9.31,4,2.05,1,no
1005,VT,100,no,yes,90,36.7,92,21.92,157,8.11,4,3.13,1,no
1006,OH,119,no,yes,92,36.91,134,18.77,93,11.23,5,2.16,2,no
1007,MO,86,no,no,96,14.2,63,18.79,75,15.74,3,3.4,0,no
1008,LA,155,no,yes,106,31.16,101,17.43,90,11.87,7,1.38,1,no
1009,IL,78,yes,no,141,40.26,101,22.55,77,6.86,2,2.57,1,yes
1010,NJ,153,no,no,90,32.95,121,16.6,108,8.22,3,2.3,1,no
1011,IA,92,no,yes,112,22.78,111,17.51,118,8.13,4,2.62,0,no
1012,WA,13,no,yes,65,30.02,96,14.68,128,4.7,5,3.05,2,no
1013,NE,154,no,no,93,32.54,119,17.46,121,9.26,3,2.75,3,no
1014,CT,144,yes,yes,127,29.72,93,18.67,90,11.51,3,3.46,0,no
1015,WV,48,no,no,67,46.78,108,15.32,110,7.15,2,2.13,1,no
1016,ND,94,no,no,85,29.58,114,20.49,94,9.35,1,2.13,1,no
1017,UT,139,no,no,132,28.05,86,21.22,128,7.66,8,3.4,1,no
1018,MS,126,no,no,102,38.88,99,14.34,100,10.06,4,3.19,1,no
1019,MN,122,no,no,88,18.34,109,20.04,119,10.29,3,2.57,2,no
1020,NH,139,no,no,140,37.62,89,13.41,89,8.66,6,3.05,1,no
1021,LA,95,no,no,84,23.99,108,17.97,127,4.67,6,1.59,3,no
1022,ME,80,no,yes,92,28.29,74,20.26,84,6.78,4,2.89,4,no
1023,KS,131,no,yes,87,42.43,138,19.31,92,10.8,3,2.05,3,no
1024,KS,36,no,no,83,30.36,103,18.11,119,8.91,5,2.94,1,no
1025,NV,180,no,no,96,23.63,64,19.12,118,7.69,5,4.24,2,no
1026,MT,25,no,no,98,22.83,109,17.2,100,8.82,5,3.4,2,no
1027,MT,113,no,no,93,36.7,85,20.41,123,7.05,5,1.32,3,no
1028,AK,120,no,no,97,30.33,113,14.31,93,5.42,9,2.51,1,no
1029,UT,74,no,no,84,18.09,104,11.92,81,4.09,3,3.08,1,no
1030,AR,109,no,no,101,29.02,82,20.42,112,5.36,4,3.08,2,no
1031,LA,162,no,yes,139,31.37,78,15.57,106,5.73,6,3.32,0,no
1032,KS,124,no,yes,109,27.4,79,17.36,87,10.42,4,2.4,1,no
1033,OR,177,no,no,77,14.43,109,21.89,66,9.47,5,2.03,2,no
1034,WI,91,no,no,71,37.04,116,19.56,110,10.44,2,2.86,1,no
1035,KS,24,no,no,91,41.31,77,15.63,109,8.29,6,4.13,0,yes
1036,IL,48,no,no,71,21.79,78,4.09,80,5.23,3,2.4,0,no
1037,IA,86,no,no,115,21.47,112,14.35,95,6.96,7,2.65,2,no
1038,AZ,163,no,no,56,30.38,79,18.33,84,6.87,2,2.86,4,no
1039,NE,91,no,no,109,27.03,142,21.68,73,3.71,4,2.73,0,no
1040,ID,56,no,no,79,25.65,87,13.75,115,7.55,5,3.16,3,no
1041,OH,147,yes,yes,118,37.38,116,17.72,111,15.86,4,2.19,3,no
1042,TX,64,no,no,116,28.56,94,16.35,98,7.49,3,2.73,2,no
1043,TN,108,no,yes,83,27.56,117,14.6,76,11.69,3,2.59,4,yes
1044,OK,159,no,no,107,33.8,91,16.62,120,9.6,7,4.46,5,no
1045,ND,136,yes,no,90,43.66,104,19.56,82,6.46,10,2.46,3,no
1046,NC,45,no,yes,92,33.46,108,21.61,85,11.78,2,2.08,1,no
1047,MN,122,no,no,120,23.82,128,19.67,127,8.46,5,3.02,2,no
1048,MN,138,no,no,83,33.03,97,16.14,102,10.45,3,2.43,5,no
1049,MA,132,no,no,66,19.99,108,18.19,94,10.78,5,2.38,1,no
1050,PA,101,yes,no,108,32.93,98,15.86,100,10.04,8,3.13,0,no
1051,GA,58,no,no,105,41.33,108,19.67,120,8.14,4,2.11,2,no
1052,NV,81,no,no,132,24.72,91,10.99,109,8.39,4,1.4,1,no
1053,ME,116,no,no,93,38.98,111,15.68,91,7.57,3,2.38,2,no
1054,MN,62,no,yes,84,31.69,136,17.09,103,12.9,3,3.0,2,yes
1055,NH,90,no,no,121,12.94,73,24.68,89,10.66,3,2.92,0,no
1056,TN,98,no,no,65,27.68,109,15.73,104,9.88,3,1.62,2,no
1057,UT,73,no,no,115,30.99,97,16.93,113,5.41,5,4.86,1,no
1058,RI,107,yes,no,83,33.05,84,21.06,93,11.04,7,3.02,2,no
1059,NH,55,no,yes,95,32.18,113,10.08,102,11.26,4,3.38,2,no
1060,AK,76,no,yes,107,27.22,136,14.34,102,1.04,4,2.57,3,no
1061,NC,30,no,no,76,24.65,112,20.46,134,8.87,4,1.92,3,no
1062,AZ,157,no,no,105,37.52,127,10.14,113,7.43,7,3.11,4,no
1063,MA,40,no,yes,69,38.2,81,11.43,104,5.41,5,2.03,1,yes
1064,TN,72,no,no,79,24.99,103,13.8,80,7.33,4,2.84,1,no
1065,WY,95,no,yes,130,44.34,111,18.14,97,8.8,5,2.73,1,no
1066,IA,42,no,no,127,26.42,45,13.95,128,7.1,3,2.43,0,no
1067,IN,86,no,no,112,28.25,81,21.7,97,10.26,7,1.46,1,no
1068,NJ,131,no,no,115,36.01,102,22.14,96,6.49,7,2.92,0,no
1069,MT,74,no,no,102,27.66,105,24.82,80,8.25,6,2.35,0,no
1070,ND,81,yes,yes,76,40.31,125,22.46,120,12.21,3,2.13,1,no
1071,MI,81,no,no,102,28.25,112,18.5,68,9.91,2,3.56,4,no
1072,MT,28,no,no,48,20.69,112,10.69,122,11.77,2,2.24,6,yes
1073,AL,111,no,no,62,29.99,124,17.09,138,6.77,2,3.02,0,no
1074,NV,3,no,yes,116,11.46,78,20.74,93,12.65,2,3.08,2,no
1075,MI,51,no,no,129,39.05,104,28.56,128,8.68,1,2.59,1,yes
1076,FL,68,no,yes,118,29.92,116,23.62,71,7.86,7,3.97,1,no
1077,NY,163,no,no,77,42.11,108,22.91,82,7.53,7,2.59,0,yes
1078,KS,87,no,no,90,19.62,68,22.32,69,11.06,5,3.54,2,no
1079,NC,58,no,no,95,19.07,108,17.82,78,11.74,1,3.75,0,yes
1080,MN,109,no,no,138,27.64,109,13.09,118,9.44,4,3.11,0,no
1081,RI,111,no,no,107,39.0,99,18.2,95,13.03,6,2.81,4,no
1082,UT,144,no,no,96,23.73,93,10.56,75,4.3,4,4.05,2,no
1083,OR,135,no,no,66,44.85,116,21.36,112,9.0,2,2.27,5,yes
1084,IL,107,no,yes,132,19.43,91,16.98,74,8.76,8,2.03,1,no
1085,OH,149,no,no,108,33.37,96,11.63,87,6.96,3,2.08,2,no
1086,MA,56,no,no,95,43.04,116,15.98,133,6.39,4,1.19,1,no
1087,OR,129,no,no,99,16.66,62,20.46,123,11.47,4,2.84,0,no
1088,CA,92,no,no,118,42.4,95,17.98,116,7.61,3,2.46,0,no
1089,WV,67,no,yes,107,22.03,104,19.81,93,13.37,5,3.92,1,no
1090,VT,120,no,no,106,37.62,98,22.75,80,5.02,7,2.51,0,no
1091,ID,166,no,no,106,37.52,118,15.11,102,9.27,9,3.35,1,no
1092,OR,66,no,no,76,14.89,111,22.27,125,8.31,5,2.48,1,no
1093,GA,76,no,no,61,34.61,127,13.74,97,7.92,3,2.27,0,no
1094,ME,79,no,no,110,36.31,121,19.97,157,10.33,3,2.38,2,no
1095,HI,98,no,yes,112,30.87,100,18.76,121,10.63,4,3.48,2,no
1096,AZ,141,no,yes,123,36.62,98,27.94,89,7.22,6,2.11,1,no
1097,IA,46,no,no,111,33.86,83,14.88,84,9.48,2,2.75,3,no
1098,CT,137,no,no,130,19.55,83,11.71,61,10.08,4,1.97,3,no
1099,WA,171,no,no,69,45.99,112,19.55,111,6.12,5,2.59,1,yes
1100,VA,10,no,no,127,37.77,125,13.01,80,10.23,4,3.48,1,no
1101,CO,88,no,no,78,10.52,114,22.32,110,9.56,2,2.38,3,no
1102,LA,89,no,no,92,23.99,126,21.17,73,6.12,2,2.92,2,no
1103,TX,82,no,no,81,32.16,117,15.67,83,11.51,5,2.86,3,yes
1104,SD,139,no,no,135,33.32,146,15.81,92,6.89,1,2.65,3,no
1105,VA,87,no,no,119,29.17,107,17.43,114,7.68,4,3.73,0,no
1106,NY,137,yes,no,123,29.58,115,13.71,98,11.73,3,3.08,2,no
1107,WA,45,no,no,106,13.36,110,15.92,111,8.29,5,2.0,1,yes
1108,WI,90,no,no,92,34.15,91,13.97,98,11.21,7,2.4,1,no
1109,TN,103,no,no,123,24.02,87,21.56,96,9.71,2,1.73,1,no
1110,CT,100,no,no,130,40.09,69,14.96,122,2.86,1,1.97,2,no
1111,WA,110,no,no,100,31.47,88,14.03,104,5.02,4,1.7,3,no
1112,NH,124,no,no,113,43.23,104,6.71,69,6.89,2,3.19,2,no
1113,MT,10,no,no,103,31.11,77,18.26,73,9.29,6,2.35,2,no
1114,NE,89,no,yes,80,27.8,136,23.36,147,17.19,5,2.03,2,no
1115,WA,121,no,no,98,35.34,96,17.89,114,4.93,2,2.08,2,no
1116,WI,101,no,no,102,42.26,93,14.87,86,9.32,3,1.65,3,no
1117,AR,103,no,yes,105,31.52,126,16.8,110,6.62,4,3.92,2,no
1118,WI,51,no,no,60,33.63,64,18.79,134,7.59,5,2.4,1,no
1119,DE,2,yes,no,42,22.46,88,11.81,119,8.67,1,2.46,2,yes
1120,NH,111,no,no,117,33.51,128,19.36,101,9.63,11,2.51,0,no
1121,VA,118,no,no,112,26.28,105,15.66,102,9.78,5,3.4,2,no
1122,ID,193,no,no,92,16.46,103,12.12,115,9.45,5,2.94,2,yes
1123,TN,114,no,no,145,29.24,101,23.49,100,8.72,9,2.73,1,no
1124,MT,185,no,yes,121,25.69,88,20.8,91,6.95,2,3.73,2,no
1125,OK,101,no,no,107,35.63,96,19.45,85,7.76,2,2.05,3,no
1126,ID,95,no,yes,109,41.99,91,10.68,90,10.19,4,2.84,3,no
1127,NV,7,no,yes,114,37.64,116,14.09,105,11.12,12,2.92,1,no
1128,KS,126,no,no,99,54.62,93,14.27,106,8.71,4,2.16,1,yes
1129,WY,71,no,no,124,41.43,90,5.1,129,8.5,2,3.05,0,no
1130,MS,124,no,no,85,42.76,98,18.21,71,8.37,6,3.0,3,no
1131,WY,97,yes,no,107,40.27,105,13.4,120,10.85,2,1.97,0,yes
1132,TX,28,no,no,79,27.15,131,18.42,116,9.3,3,2.51,2,no
1133,WA,90,yes,no,96,25.19,111,18.73,97,6.04,1,2.48,4,yes
1134,HI,190,no,no,86,25.65,129,22.83,73,8.1,1,3.97,1,no
1135,IL,31,no,yes,101,35.79,86,21.29,125,10.87,2,3.11,1,no
1136,MD,73,no,no,80,43.3,79,7.67,60,6.9,8,2.86,0,no
1137,MA,111,no,no,89,48.35,113,13.35,91,10.93,8,2.27,0,yes
1138,SD,98,no,no,0,0.0,130,13.57,88,7.52,1,1.84,4,yes
1139,PA,106,yes,no,45,22.73,107,15.96,89,8.19,2,2.89,1,yes
1140,NC,111,no,no,117,38.23,127,16.31,97,10.35,3,2.78,0,no
1141,VT,59,no,no,98,25.81,92,17.84,86,12.01,5,3.21,1,no
1142,KY,71,no,yes,107,24.04,105,13.86,99,9.9,3,1.51,2,no
1143,WA,55,no,no,124,48.57,106,19.63,140,10.38,7,4.0,0,yes
1144,LA,13,no,no,121,9.93,64,22.29,115,7.15,5,3.21,1,no
1145,WA,136,no,yes,105,15.37,109,17.11,115,10.22,4,3.54,0,no
1146,ME,123,no,no,91,19.45,123,18.41,102,11.28,3,2.97,0,no
1147,WI,105,no,no,103,25.11,78,18.93,102,7.36,3,3.46,2,no
1148,TX,50,no,yes,93,51.46,119,20.44,103,8.73,14,3.67,3,no
1149,AZ,97,no,no,84,28.85,86,14.1,83,8.64,6,3.46,3,no
1150,ND,51,no,no,89,38.62,106,16.52,126,10.95,2,4.02,0,no
1151,VT,73,no,no,91,37.03,97,18.75,89,12.48,6,2.78,1,yes
1152,HI,35,no,no,102,21.11,115,10.53,100,6.11,8,3.54,2,no
1153,WY,64,no,no,76,35.05,76,19.75,96,11.32,2,3.67,1,no
1154,WV,63,no,no,122,22.59,62,5.7,121,7.22,2,2.67,3,no
1155,OK,117,no,yes,115,17.83,125,20.2,104,11.85,6,2.08,3,no
1156,CT,115,no,no,97,41.65,75,21.31,124,12.16,8,3.7,1,yes
1157,UT,162,no,no,118,31.37,95,19.04,82,8.12,3,3.13,1,no
1158,NY,89,no,no,66,15.22,104,15.24,116,10.13,1,3.32,3,no
1159,VA,94,yes,no,131,40.05,107,16.56,93,7.68,4,2.32,1,no
1160,VT,129,no,no,127,31.62,96,22.3,63,4.45,6,3.11,4,no
1161,SD,86,no,no,75,38.06,109,13.23,143,6.76,9,1.97,1,no
1162,PA,96,no,no,125,30.52,139,13.8,133,11.9,2,1.78,1,no
1163,ND,190,no,no,102,28.8,113,21.55,93,8.87,5,2.4,1,no
1164,CT,80,no,no,90,20.08,77,12.27,86,10.13,6,2.21,1,no
1165,SC,108,no,no,105,19.04,110,16.46,93,9.4,4,1.11,4,yes
1166,MI,97,no,yes,129,28.63,97,19.2,95,8.63,7,2.3,0,no
1167,VT,84,no,yes,112,36.43,107,16.0,117,15.01,10,3.05,0,no
